issue,date,f1,f2,f3,f4,f5,b1,b2
22096,,16,19,24,27,33,1,6
22097,,5,13,22,28,29,5,11
22098,,1,3,6,11,13,3,11
22099,,7,18,25,27,33,4,5
22100,,10,19,20,23,31,3,7
22101,,2,4,6,7,8,3,6
22102,,1,5,14,20,30,2,4
22103,,8,12,16,21,32,1,12
22104,,3,5,13,19,25,2,5
22105,,1,8,9,21,22,1,4
22106,,16,17,21,28,32,4,7
22107,,7,9,19,28,29,8,10
22108,,4,7,13,26,28,7,11
22109,,5,9,24,29,35,5,12
22110,,2,13,16,18,23,3,6
22111,,6,12,16,19,31,6,10
22112,,4,11,18,20,26,6,12
22113,,13,15,22,31,33,5,12
22114,,11,21,24,27,28,5,10
22115,,17,19,20,23,27,3,8
22116,,1,7,20,22,31,7,12
22117,,9,12,15,21,32,2,7
22118,,2,5,15,17,26,2,8
22119,,1,9,16,25,29,4,9
22120,,11,22,26,30,33,3,5
22121,,4,15,16,20,21,4,5
22122,,4,15,17,19,25,6,12
22123,,2,20,28,29,30,7,10
22124,,2,4,11,25,30,6,12
22125,,3,7,14,16,19,1,11
22126,,4,5,8,22,35,1,3
22127,,2,3,8,9,20,4,10
22128,,10,19,21,23,35,4,10
22129,,10,17,23,34,35,1,4
22130,,5,7,15,18,23,5,10
22131,,2,6,8,10,17,5,6
22132,,2,27,30,34,35,9,12
22133,,1,2,14,30,31,6,9
22134,,3,16,23,27,32,3,6
22135,,9,10,27,31,32,1,3
22136,,1,11,15,17,33,3,11
22137,,5,6,8,15,20,7,8
22138,,5,13,16,27,33,7,12
22139,,1,13,14,22,35,2,5
22140,,5,15,25,26,29,4,12
22141,,5,6,14,24,25,2,4
22142,,7,12,14,29,35,1,11
22143,,10,13,14,27,33,7,8
22144,,3,4,8,15,21,4,7
22145,,10,20,29,30,35,6,9
22146,,1,21,23,28,35,7,9
22147,,4,12,22,28,30,9,11
22148,,4,5,6,26,27,7,12
22149,,15,19,22,26,28,2,7
22150,,6,7,26,29,30,3,12
23001,,18,19,24,27,34,11,12
23002,,11,14,21,26,27,2,7
23003,,5,6,14,21,22,2,9
23004,,4,13,15,20,22,4,8
23005,,1,3,10,20,29,6,11
23006,,2,4,12,27,35,6,7
23007,,2,3,24,30,32,1,6
23008,,4,9,17,22,25,1,5
23009,,1,5,11,15,33,1,10
23010,,5,6,13,23,26,1,6
23011,,2,7,8,17,25,1,3
23012,,7,16,17,18,28,2,3
23013,,1,2,9,23,25,2,6
23014,,3,8,18,22,24,1,9
23015,,8,16,24,25,34,8,12
23016,,2,4,12,31,32,7,11
23017,,2,5,9,22,27,10,11
23018,,4,8,17,26,30,3,11
23019,,5,8,9,11,15,6,8
23020,,5,6,23,25,28,6,9
23021,,2,9,18,23,27,3,5
23022,,7,11,15,26,28,8,10
23023,,9,21,23,25,33,3,10
23024,,11,15,24,27,30,1,10
23025,,3,9,27,30,31,11,12
23026,,2,13,24,27,30,1,6
23027,,9,10,12,15,23,3,6
23028,,1,3,29,30,34,4,12
23029,,7,25,27,34,35,9,11
23030,,6,11,12,20,35,5,12
23031,,5,7,8,16,25,3,11
23032,,5,6,18,28,30,2,7
23033,,4,6,10,11,25,7,9
23034,,7,9,10,15,24,4,12
23035,,7,14,23,25,29,2,11
23036,,1,13,22,26,31,2,10
23037,,6,8,16,20,24,7,8
23038,,4,10,18,27,32,10,12
23039,,2,24,26,30,34,6,7
23040,,4,5,18,22,30,5,12
23041,,5,8,13,26,35,5,9
23042,,2,16,21,23,27,1,8
23043,,2,4,17,20,27,1,8
23044,,2,6,7,8,15,7,10
23045,,7,10,13,28,31,4,5
23046,,13,21,25,28,32,2,10
23047,,10,12,13,24,25,11,12
23048,,7,13,16,25,32,9,11
23049,,3,17,22,26,28,7,12
23050,,8,9,14,25,29,4,6
23051,,3,11,19,29,33,3,12
23052,,2,8,11,30,33,5,8
23053,,1,3,11,14,20,2,11
23054,,19,25,30,31,34,7,9
23055,,6,8,12,13,15,1,6
23056,,13,22,24,33,34,1,2
23057,,1,5,6,19,24,5,11
23058,,19,22,29,32,35,5,8
23059,,9,13,23,25,28,4,7
23060,,2,7,19,24,30,9,12
23061,,7,11,21,30,32,5,7
23062,,6,8,22,24,30,1,8
23063,,4,18,29,31,34,6,9
23064,,2,6,9,31,32,3,7
23065,,8,14,16,21,25,3,12
23066,,6,11,13,30,32,1,3
23067,,2,28,30,33,35,2,10
23068,,21,22,24,27,31,7,8
23069,,8,20,21,25,32,5,7
23070,,10,26,29,32,33,3,11
23071,,2,11,12,32,34,10,12
23072,,5,6,9,11,14,2,4
23073,,15,25,28,30,35,8,10
23074,,3,13,22,29,34,2,9
23075,,7,17,20,23,32,5,11
23076,,8,9,11,26,34,2,7
23077,,5,16,18,26,35,3,6
23078,,2,3,6,26,27,7,8
23079,,6,8,26,29,34,5,8
23080,,1,2,9,16,30,1,11
23081,,5,6,23,28,35,7,10
23082,,2,8,9,15,20,3,9
23083,,13,15,21,25,32,9,10
23084,,3,5,8,24,32,7,8
23085,,11,12,26,31,35,5,7
23086,,3,11,15,20,35,7,11
23087,,3,4,16,19,24,4,5
23088,,8,14,16,22,24,9,12
23089,,3,12,20,26,35,2,12
23090,,8,11,12,19,35,11,12
23091,,6,16,18,28,29,7,11
23092,,3,16,21,26,32,3,12
23093,,11,14,17,19,21,1,5
23094,,12,19,22,28,32,8,12
23095,,8,19,28,32,34,3,7
23096,,6,7,14,21,31,3,10
23097,,6,7,18,20,22,3,9
23098,,2,7,15,30,34,5,9
23099,,9,11,13,22,23,6,7
23100,,4,6,13,19,35,9,11
23101,,6,14,16,17,28,7,10
23102,,2,4,7,16,33,7,11
23103,,8,11,19,31,32,8,11
23104,,6,15,16,32,33,8,10
23105,,7,8,19,20,25,2,11
23106,,16,24,26,28,31,1,6
23107,,1,12,15,16,18,3,10
23108,,5,6,17,30,32,2,8
23109,,1,12,21,22,31,2,9
23110,,4,9,11,13,17,7,8
23111,,3,12,15,28,35,2,12
23112,,1,11,17,22,27,2,9
23113,,6,8,30,32,33,3,10
23114,,2,25,27,30,35,1,10
23115,,7,10,23,31,34,2,10
23116,,1,3,9,18,29,4,9
